id,tag
00841365107092,cancer
00841365106521,cancer
00841365106507,cancer
00841365106477,cancer
00841365106453,cancer
00841365106439,cancer
00841365106422,cancer
00841365106415,cancer
00841365106408,cancer
00841365106378,cancer
00841365106361,cancer
00841365106347,cancer
00841365106330,cancer
00841365106316,cancer
00841365106293,cancer
00841365106231,cancer
00841365106224,cancer
00841365106200,cancer
00841365106187,cancer
00841365106149,cancer
00841365117732,cancer
00841365117725,cancer
00841365117718,cancer
00841365117664,cancer
00841365117633,cancer
00841365117602,cancer
00841365117589,cancer
00841365117572,cancer
00841365117503,cancer
00841365117497,cancer
00841365117213,cancer
00841365117183,cancer
00841365117084,cancer
00841365117039,cancer
00841365116469,cancer
00841365116322,cancer
00841365116186,cancer
00841365116094,cancer
00841365115561,cancer
00841365115325,cancer
00841365115127,cancer
00841365114625,cancer
00841365114601,cancer
00841365114113,cancer
00841365113130,cancer
00841365113116,cancer
00841365112942,cancer
00841365112935,cancer
00841365112928,cancer
00841365112911,cancer
00841365112898,cancer
00841365111280,cancer
00841365110481,cancer
00841365110467,cancer
00841365110443,cancer
00841365108181,cancer
00841365107887,cancer
00841365120312,cancer
00841365120305,cancer
00841365120299,cancer
00841365120282,cancer
00841365119651,cancer
00841365119071,cancer
00841365119019,cancer
00841365118852,cancer
00841365118357,cancer
00841365118159,cancer
00841365118050,cancer
00841365116797,cancer
00841365116506,cancer
00841365116483,cancer
00841365116476,cancer
00841365116353,cancer
00841365116179,cancer
00841365116162,cancer
00841365116100,cancer
00841365115318,cancer
00841365115301,cancer
00841365115011,cancer
00841365115004,cancer
00841365114960,cancer
00841365114953,cancer
00841365114946,cancer
00841365114717,cancer
00841365114618,cancer
00841365114595,cancer
00841365113598,cancer
00841365113246,cancer
00841365113123,cancer
00841365112959,cancer
00841365112904,cancer
00841365112881,cancer
00841365112874,cancer
00841365112782,cancer
00841365112652,cancer
00841365112645,cancer
00841365112638,cancer
00841365112515,cancer
00841365110474,cancer
00841365110450,cancer
00841365110436,cancer
00841365108419,cancer
00841365120510,cancer
00841365120503,cancer
00841365120213,cancer
00841365119934,cancer
00841365119750,cancer
00841365119200,cancer
00841365118562,cancer
00841365118388,cancer
00841365118142,cancer
00841365118081,cancer
00841365118043,cancer
00801741075957,cancer
00801741075933,cancer
00801741075919,cancer
00801741075827,cancer
00812444029284,cancer
00812444029253,cancer
00812444029147,cancer
00812444029130,cancer
00812444028997,cancer
00812444028928,cancer
00812444028874,cancer
00812444028751,cancer
00812444028584,cancer
00812444028423,cancer
00812444028324,cancer
00812444028089,cancer
00812444028065,cancer
00812444027877,cancer
00812444027846,cancer
00812444027310,cancer
00812444027143,cancer
00812444027099,cancer
00812444027006,cancer
00812444026993,cancer
00841365101106,cancer
00841365101090,cancer
00841365101083,cancer
00841365101076,cancer
00841365101069,cancer
00841365101052,cancer
00841365101045,cancer
00841365101038,cancer
00841365101021,cancer
00841365101014,cancer
00841365101007,cancer
00841365100994,cancer
00841365100987,cancer
00841365100970,cancer
00841365100963,cancer
00841365100956,cancer
00841365100949,cancer
00841365100932,cancer
00841365100925,cancer
00841365100918,cancer
00841365100901,cancer
00841365100895,cancer
00841365100888,cancer
00841365100871,cancer
00841365100864,cancer
00841365100857,cancer
00841365100840,cancer
00841365100833,cancer
00841365100826,cancer
00841365100819,cancer
00841365100802,cancer
00841365100796,cancer
00841365100789,cancer
00841365100772,cancer
00841365100765,cancer
00841365100758,cancer
00841365100741,cancer
00841365100734,cancer
00841365100727,cancer
00841365100710,cancer
00841365100703,cancer
00841365100697,cancer
00841365100680,cancer
00841365100673,cancer
00841365100666,cancer
00841365100659,cancer
00841365100642,cancer
00841365100635,cancer
00841365100628,cancer
00841365100611,cancer
00812444023046,cancer
00812444023039,cancer
00812444023022,cancer
00812444023015,cancer
00812444023008,cancer
00812444022995,cancer
00812444022988,cancer
00812444022971,cancer
00812444022964,cancer
00812444022940,cancer
00812444022933,cancer
00812444022292,cancer
00812444022285,cancer
00812444022278,cancer
00812444022261,cancer
00812444022254,cancer
00812444022247,cancer
00812444022193,cancer
00812444022186,cancer
00812444022179,cancer
00812444022155,cancer
00812444022148,cancer
00812444022131,cancer
00812444022117,cancer
00812444022100,cancer
00812444022094,cancer
00812444022087,cancer
00812444022063,cancer
00813787022031,cancer
00813787021591,cancer
00813787021546,cancer
00813787021287,cancer
00813787022048,cancer
00813787021980,cancer
00813787021911,cancer
00813787021782,cancer
00813787021775,cancer
00813787021768,cancer
00813787021751,cancer
00813787021744,cancer
00813787021737,cancer
00813787021607,cancer
00813787021584,cancer
00813787021577,cancer
00813787021560,cancer
00813787021553,cancer
00813787021539,cancer
00813787021522,cancer
00813787021515,cancer
00813787021508,cancer
00813787021492,cancer
00813787021485,cancer
00813787021478,cancer
00813787021461,cancer
00813787021454,cancer
00813787021447,cancer
00813787021430,cancer
00813787021423,cancer
00813787021416,cancer
00813787021409,cancer
00813787021393,cancer
00813787021386,cancer
00813787021379,cancer
00813787021294,cancer
00813787021270,cancer
00813787021263,cancer
10816389027210,cancer
10816389027180,cancer
00810020085167,cancer
00810020085150,cancer
00810020085143,cancer
00810020085136,cancer
00810020085129,cancer
00810020085112,cancer
00810020085105,cancer
00810020085099,cancer
00810020085082,cancer
00810020082197,cancer
00810020082180,cancer
00810020082067,cancer
00810020082050,cancer
00816389029408,cancer
00816389029392,cancer
00816389029385,cancer
00816389029378,cancer
00816389029361,cancer
00816389029354,cancer
00816389029347,cancer
00816389029330,cancer
00816389029323,cancer
00816389029316,cancer
00816389029309,cancer
00816389029293,cancer
00816389029286,cancer
00816389029279,cancer
00816389029262,cancer
00816389029255,cancer
00816389029248,cancer
00816389029231,cancer
00816389029224,cancer
00816389029217,cancer
00816389025615,cancer
00816389025363,cancer
00816389025356,cancer
00816389025349,cancer
00816389025332,cancer
00816389025264,cancer
00816389025257,cancer
00816389025240,cancer
00816389025233,cancer
00816389025219,cancer
00816389025028,cancer
00816389025011,cancer
00816389025004,cancer
00816389024991,cancer
00816389024984,cancer
00816389024977,cancer
00816389024960,cancer
00816389024953,cancer
00816389024854,cancer
00816389024847,cancer
00816389024830,cancer
00816389024823,cancer
00816389024816,cancer
00816389024809,cancer
00816389024793,cancer
00816389024786,cancer
00816389024267,cancer
00816389024250,cancer
00816389024243,cancer
00816389022553,cancer
00812444021691,cancer
00812444021684,cancer
00812444021677,cancer
00812444021660,cancer
00812444021653,cancer
00812444020472,cancer
00812444020465,cancer
00812444020458,cancer
00812444020441,cancer
00812444020434,cancer
00812444020199,cancer
00812444020182,cancer
00812444020168,cancer
00812444020007,cancer
M936PBKSSAL9,cancer
M936PBKSS9,cancer
M936PBKASAL9,cancer
M936PBKAS9,cancer
M936PBKAL9,cancer
M936IBKSSAL9,cancer
M936IBKSS9,cancer
M936IBKASAL9,cancer
M936IBKAS9,cancer
